Requirement ID,Title,Type,Satisfies,Implemented By,Tested By,Has Implementation,Has Tests
REQ_COMPAT_030,Multi-Version Configuration,requirement,feat_req_someipcompat_799,CODE_sd_types_sd_88,TC_test_sd_SdTest,Yes,Yes
REQ_E2E_PLUGIN_001,E2E Profile Plugin Interface,requirement,feat_req_someip_102; feat_req_someip_103,CODE_standard_profile_e2e_profiles_53; CODE_standard_profile_e2e_profiles_136; CODE_e2e_protection_e2e_22; CODE_e2e_protection_e2e_52,TC_E2E_MCDC_001; TC_E2E_MCDC_002; TC_E2E_MCDC_003; TC_E2E_MCDC_004; TC_E2E_MCDC_005; TC_E2E_MCDC_006; TC_E2E_MCDC_007; TC_E2E_MCDC_008; TC_E2E_MCDC_009; TC_test_e2e_integration_15; TC_E2E_INT_001; TC_E2E_INT_005; TC_test_e2e_system_2,Yes,Yes
REQ_E2E_PLUGIN_002,E2E Profile Registry,requirement,,CODE_e2e_profile_registry_e2e_19; CODE_e2e_profile_registry_e2e_28; CODE_e2e_profile_registry_e2e_61,TC_test_e2e_integration_15; TC_E2E_INT_006; TC_test_e2e_system_2,Yes,Yes
REQ_E2E_PLUGIN_003,Plugin Registration API,requirement,,CODE_e2e_profile_registry_e2e_28,TC_test_e2e_integration_15; TC_E2E_INT_006,Yes,Yes
REQ_E2E_PLUGIN_004,Standard E2E Profile,requirement,feat_req_someip_102; feat_req_someip_103,CODE_e2e_crc_e2e_35; CODE_standard_profile_e2e_profiles_53; CODE_standard_profile_e2e_profiles_136; CODE_e2e_protection_e2e_22; CODE_e2e_protection_e2e_52,TC_E2E_002; TC_E2E_003; TC_E2E_CRC_001; TC_E2E_CRC_001b; TC_E2E_CRC_002; TC_E2E_CRC_003; TC_E2E_CRC_004; TC_E2E_CRC_005; TC_E2E_CRC_006; TC_E2E_MCDC_001; TC_E2E_MCDC_002; TC_E2E_MCDC_010; TC_E2E_MCDC_011; TC_E2E_MCDC_012; TC_test_e2e_integration_15; TC_E2E_INT_001; TC_E2E_INT_002; TC_E2E_INT_003; TC_E2E_INT_004; TC_test_e2e_system_2,Yes,Yes
REQ_E2E_PLUGIN_005,E2E Header Format,requirement,feat_req_someip_102; feat_req_someip_103,CODE_e2e_header_e2e_20; CODE_e2e_header_e2e_50,TC_E2E_001; TC_E2E_HDR_001; TC_E2E_HDR_002; TC_E2E_HDR_003; TC_E2E_HDR_004; TC_E2E_HDR_005; TC_E2E_HDR_006,Yes,Yes
REQ_MSG_001,Parse Message ID Field,requirement,feat_req_someip_44; feat_req_someip_45; feat_req_someip_56; feat_req_someip_43; feat_req_someip_55; feat_req_someip_29; feat_req_someip_30,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest; TC_MSG_001,Yes,Yes
REQ_MSG_002,Extract Service ID from Message ID,requirement,feat_req_someip_538; feat_req_someip_539; feat_req_someip_59; feat_req_someip_534; feat_req_someip_58; feat_req_someip_57,CODE_message_someip_123; CODE_message_someip_167; CODE_message_someip_309,TC_test_message_MessageTest; TC_MSG_001; TC_MSG_002,Yes,Yes
REQ_MSG_003,Extract Method ID from Message ID,requirement,feat_req_someip_59; feat_req_someip_60; feat_req_someip_625; feat_req_someip_58,CODE_message_someip_123; CODE_message_someip_167; CODE_message_someip_309,TC_test_message_MessageTest; TC_MSG_001; TC_MSG_003; TC_MSG_003_BOUNDARY,Yes,Yes
REQ_MSG_004,Validate Reserved Service ID 0x0000,requirement,feat_req_someip_627; feat_req_someip_816,CODE_message_someip_281,TC_MSG_004,Yes,Yes
REQ_MSG_004_E01,Error - Invalid Service ID Range,requirement,feat_req_someip_627; feat_req_someip_371,CODE_message_someip_281,TC_MSG_004,Yes,Yes
REQ_MSG_004_E02,Error - Log Invalid Service ID,requirement,,CODE_message_someip_281,TC_MSG_004,Yes,Yes
REQ_MSG_005,Recognize SD Service ID 0xFFFF,requirement,feat_req_someip_627; feat_req_someip_658,CODE_message_someip_281,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_006,Accept Method IDs for Methods,requirement,feat_req_someip_60; feat_req_someip_625; feat_req_someip_626,CODE_message_someip_295,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_007,Accept Method IDs for Events,requirement,feat_req_someip_67; feat_req_someip_625; feat_req_someip_626,CODE_message_someip_295,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_008,Validate Reserved Method ID 0xFFFF,requirement,feat_req_someip_816; feat_req_someip_818,CODE_message_someip_295,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_010,Parse Length Field,requirement,feat_req_someip_77; feat_req_someip_76; feat_req_someip_34; feat_req_someip_35; feat_req_someip_36; feat_req_someip_38,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_010_E01,Error - Message Length Overflow,requirement,,CODE_message_someip_167,TC_test_message_MessageTest; TC_MSG_E01,Yes,Yes
REQ_MSG_011,Validate Length Field Calculation,requirement,feat_req_someip_77,CODE_message_someip_123; CODE_message_someip_167; CODE_message_someip_492,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_012,Minimum Length Value,requirement,feat_req_someip_77; feat_req_someip_798,CODE_message_someip_167; CODE_message_someip_317,TC_test_message_MessageTest; TC_MSG_012; TC_MSG_012_BOUNDARY,Yes,Yes
REQ_MSG_012_E01,Error - Return Malformed Message Code,requirement,,CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_012_E02,Error - Log Invalid Length Value,requirement,,CODE_message_someip_317,TC_MSG_012,Yes,Yes
REQ_MSG_013,Maximum Length for UDP Transport,requirement,feat_req_someip_318; feat_req_someiptp_760; feat_req_someip_166,CODE_message_someip_482,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_014,Error - Buffer Size Less Than Length,requirement,feat_req_someip_77; feat_req_someip_798,CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_014_E01,Error - Truncated Message Detection,requirement,,CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_014_E02,Error - Buffer Overflow Protection,requirement,,CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_015,Error - Length Less Than Minimum,requirement,feat_req_someip_798,CODE_message_someip_167; CODE_message_someip_317,TC_MSG_012,Yes,Yes
REQ_MSG_020,Parse Request ID Field,requirement,feat_req_someip_79; feat_req_someip_83; feat_req_someip_78; feat_req_someip_82; feat_req_someip_80,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest; TC_MSG_001,Yes,Yes
REQ_MSG_020_E01,Error - Request ID All Zeros,requirement,,CODE_message_someip_167,TC_test_message_MessageTest; TC_MSG_E02,Yes,Yes
REQ_MSG_021,Extract Client ID from Request ID,requirement,feat_req_someip_83; feat_req_someip_699,CODE_message_someip_123; CODE_message_someip_167; CODE_message_someip_358,TC_test_message_MessageTest; TC_MSG_001; TC_MSG_021,Yes,Yes
REQ_MSG_022,Extract Session ID from Request ID,requirement,feat_req_someip_83; feat_req_someip_88,CODE_message_someip_123; CODE_message_someip_167; CODE_message_someip_358,TC_test_message_MessageTest; TC_MSG_001; TC_MSG_021,Yes,Yes
REQ_MSG_023,Session ID Zero - Disabled Session Handling,requirement,feat_req_someip_700,CODE_message_someip_341,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_024,Session ID Wrap-Around Handling,requirement,feat_req_someip_649; feat_req_someip_677,CODE_message_someip_341,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_024_E01,Error - Duplicate Session ID Detection,requirement,,CODE_message_someip_341,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_024_E02,Error - Session ID Sequence Validation,requirement,,CODE_message_someip_341,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_025,Client ID Zero - Reserved for SD,requirement,feat_req_someip_699,CODE_message_someip_329,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_030,Parse Protocol Version Field,requirement,feat_req_someip_90; feat_req_someip_89,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_031,Validate Protocol Version Value,requirement,feat_req_someip_90; feat_req_someip_703,CODE_message_someip_167; CODE_message_someip_399,TC_test_message_MessageTest; TC_MSG_005,Yes,Yes
REQ_MSG_032,Error - Reject Invalid Protocol Version,requirement,feat_req_someip_90; feat_req_someip_371,CODE_message_someip_167; CODE_message_someip_399,TC_test_message_MessageTest; TC_MSG_005,Yes,Yes
REQ_MSG_032_E01,Error - Log Unknown Protocol Version,requirement,,CODE_message_someip_399,TC_MSG_005,Yes,Yes
REQ_MSG_032_E02,Error - Discard Message on Protocol Mismatch,requirement,,CODE_message_someip_399,TC_MSG_005,Yes,Yes
REQ_MSG_033,Error - Return Wrong Protocol Version Code,requirement,feat_req_someip_90; feat_req_someip_371,CODE_message_someip_399,TC_test_message_MessageTest; TC_MSG_005,Yes,Yes
REQ_MSG_040,Parse Interface Version Field,requirement,feat_req_someip_92; feat_req_someip_91; feat_req_someip_93,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_040_E01,Error - Interface Version Zero,requirement,,CODE_message_someip_167,TC_test_message_MessageTest; TC_MSG_E03,Yes,Yes
REQ_MSG_041,Pass Interface Version to Application,requirement,feat_req_someip_92,CODE_message_someip_358,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_042,Error - Interface Version Mismatch Handling,requirement,feat_req_someip_371,CODE_message_someip_366,TC_test_message_MessageTest; TC_MSG_005,Yes,Yes
REQ_MSG_042_E01,Error - Log Interface Version Mismatch,requirement,,CODE_message_someip_366,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_050,Parse Message Type Field,requirement,feat_req_someip_95; feat_req_someip_94; feat_req_someip_684,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest; TC_MSG_001,Yes,Yes
REQ_MSG_051,Accept REQUEST Message Type,requirement,feat_req_someip_95; feat_req_someip_141; feat_req_someip_329,CODE_message_someip_366,TC_test_message_MessageTest; TC_MSG_006,Yes,Yes
REQ_MSG_052,Accept REQUEST_NO_RETURN Message Type,requirement,feat_req_someip_95; feat_req_someip_345,CODE_message_someip_366,TC_test_message_MessageTest; TC_MSG_006,Yes,Yes
REQ_MSG_053,Accept NOTIFICATION Message Type,requirement,feat_req_someip_95; feat_req_someip_354,CODE_message_someip_366,TC_test_message_MessageTest; TC_MSG_006,Yes,Yes
REQ_MSG_053_E01,Error - Notification With Non-Zero Return Code,requirement,,CODE_message_someip_366,TC_test_message_MessageTest; TC_MSG_E04,Yes,Yes
REQ_MSG_054,Accept RESPONSE Message Type,requirement,feat_req_someip_95; feat_req_someip_141; feat_req_someip_338,CODE_message_someip_366,TC_test_message_MessageTest; TC_MSG_006,Yes,Yes
REQ_MSG_054_E01,Error - Response Message Type for Non-Request,requirement,,CODE_message_someip_366,TC_test_message_MessageTest; TC_MSG_E05,Yes,Yes
REQ_MSG_055,Accept ERROR Message Type,requirement,feat_req_someip_95; feat_req_someip_106; feat_req_someip_107; feat_req_someip_727,CODE_message_someip_366,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_056,Detect TP Flag in Message Type,requirement,feat_req_someip_761; feat_req_someiptp_765,CODE_message_someip_391,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_057,Accept REQUEST_ACK Message Type,requirement,feat_req_someip_95; feat_req_someip_142,CODE_message_someip_366,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_058,Accept RESPONSE_ACK Message Type,requirement,feat_req_someip_95; feat_req_someip_142,CODE_message_someip_366,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_059,Accept ERROR_ACK Message Type,requirement,feat_req_someip_95; feat_req_someip_142,CODE_message_someip_366,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_060_TP,Accept TP_REQUEST Message Type,requirement,feat_req_someip_761; feat_req_someiptp_765,CODE_message_someip_391,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_061_TP,Accept TP_REQUEST_NO_RETURN Message Type,requirement,feat_req_someip_761; feat_req_someiptp_765,CODE_message_someip_391,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_062_TP,Accept TP_NOTIFICATION Message Type,requirement,feat_req_someip_761; feat_req_someiptp_765,CODE_message_someip_391,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_063,Error - Reject Unknown Message Type,requirement,feat_req_someip_95; feat_req_someip_721,CODE_message_someip_399,TC_test_message_MessageTest; TC_MSG_005,Yes,Yes
REQ_MSG_063_E01,Error - Log Unknown Message Type,requirement,,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_063_E02,Error - Reserved Message Type Bits Validation,requirement,,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_064,Error - Return Wrong Message Type Code,requirement,feat_req_someip_95; feat_req_someip_371,CODE_message_someip_399,TC_test_message_MessageTest; TC_MSG_005,Yes,Yes
REQ_MSG_070,Parse Return Code Field,requirement,feat_req_someip_144; feat_req_someip_371; feat_req_someip_143; feat_req_someip_369; feat_req_someip_683,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest; TC_MSG_001,Yes,Yes
REQ_MSG_071,Validate Return Code Zero for Requests,requirement,feat_req_someip_144; feat_req_someip_371,CODE_message_someip_41,TC_test_message_MessageTest; TC_MSG_001,Yes,Yes
REQ_MSG_071_E01,Error - Non-Zero Return Code in Request,requirement,feat_req_someip_371; feat_req_someip_597,CODE_message_someip_41,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_071_E02,Error - Log Invalid Return Code in Request,requirement,,CODE_message_someip_41,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_072,Accept Standard Return Codes,requirement,feat_req_someip_371,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_072_E01,Error - Unknown Return Code Handling,requirement,,CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_073,Accept E_OK Return Code,requirement,feat_req_someip_371,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_074,Accept E_NOT_OK Return Code,requirement,feat_req_someip_371,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_075,Accept E_UNKNOWN_SERVICE Return Code,requirement,feat_req_someip_371; feat_req_someip_816,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_076,Accept E_UNKNOWN_METHOD Return Code,requirement,feat_req_someip_371; feat_req_someip_816,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_077,Accept E_NOT_READY Return Code,requirement,feat_req_someip_371,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_078,Accept E_NOT_REACHABLE Return Code,requirement,feat_req_someip_371,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_079,Accept E_TIMEOUT Return Code,requirement,feat_req_someip_371,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_080,Accept E_MALFORMED_MESSAGE Return Code,requirement,feat_req_someip_371,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_090,Big Endian Header Fields,requirement,feat_req_someip_42; feat_req_someip_44; feat_req_someip_45; feat_req_someip_675; feat_req_someip_41,CODE_message_someip_123; CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_090_E01,Error - Serialization Output Buffer Full,requirement,,CODE_message_someip_399,TC_test_message_MessageTest; TC_MSG_E06,Yes,Yes
REQ_MSG_091,Host to Network Byte Order on Serialize,requirement,feat_req_someip_42; feat_req_someip_675,CODE_message_someip_123,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_092,Network to Host Byte Order on Deserialize,requirement,feat_req_someip_42; feat_req_someip_675,CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_093,Single Byte Fields No Conversion,requirement,feat_req_someip_42,CODE_message_someip_167; CODE_message_someip_399,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_100,Complete Header Validation,requirement,feat_req_someip_44; feat_req_someip_45; feat_req_someip_721,CODE_message_someip_167; CODE_message_someip_273,TC_test_message_MessageTest; TC_MSG_005,Yes,Yes
REQ_MSG_100_E01,Error - Null Buffer Pointer,requirement,,CODE_message_someip_273,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_100_E02,Error - Buffer Too Small for Header,requirement,,CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_100_E03,Error - Empty Buffer Handling,requirement,,CODE_message_someip_167,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_110,Service Instance ID Support,requirement,feat_req_someip_542; feat_req_someip_543; feat_req_someip_544; feat_req_someip_579,CODE_event_publisher_events_114; CODE_sd_types_sd_60,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_110_E01,Error - Invalid Service Instance ID,requirement,,CODE_event_publisher_events_114,TC_test_message_MessageTest; TC_MSG_E08,Yes,Yes
REQ_MSG_111,Service ID Uniqueness,requirement,feat_req_someip_541,CODE_rpc_server_rpc_118; CODE_types_someip_70,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_112,Non-SOME/IP Service ID 0xFFFE,requirement,feat_req_someip_624,CODE_types_someip_37,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_113,Eventgroup ID Support,requirement,feat_req_someip_545; feat_req_someip_546; feat_req_someip_547; feat_req_someip_670,CODE_sd_message_sd_202; CODE_sd_types_sd_77,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_113_E01,Error - Duplicate Eventgroup ID,requirement,,,TC_test_message_MessageTest,No,Yes
REQ_MSG_114,Request/Response Header Construction,requirement,feat_req_someip_329; feat_req_someip_338; feat_req_someip_327; feat_req_someip_328,CODE_rpc_client_rpc_142,TC_test_message_MessageTest; TC_test_rpc_RpcTest,Yes,Yes
REQ_MSG_114_E01,Error - Response Without Matching Request,requirement,,CODE_rpc_client_rpc_142,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_114_E02,Error - Response Timeout,requirement,,CODE_rpc_client_rpc_142,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_115,Fire-and-Forget No Response,requirement,feat_req_someip_345; feat_req_someip_348; feat_req_someip_344,CODE_rpc_server_rpc_163; CODE_rpc_server_rpc_177,TC_test_message_MessageTest; TC_test_rpc_RpcTest,Yes,Yes
REQ_MSG_116,Response IP Address Mapping,requirement,feat_req_someip_49; feat_req_someip_46; feat_req_someip_48,CODE_rpc_server_rpc_118,TC_test_message_MessageTest; TC_test_rpc_RpcTest,Yes,Yes
REQ_MSG_117,Payload Field Extraction,requirement,feat_req_someip_165; feat_req_someip_164,CODE_rpc_server_rpc_163; CODE_rpc_server_rpc_177,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_117_E01,Error - Payload Size Exceeds Maximum,requirement,,CODE_rpc_server_rpc_163; CODE_rpc_server_rpc_177,TC_test_message_MessageTest; TC_MSG_E07,Yes,Yes
REQ_MSG_118,Session Handling for Request/Response,requirement,feat_req_someip_669,CODE_session_manager_core_26; CODE_rpc_client_rpc_142; CODE_rpc_client_rpc_227,TC_test_message_MessageTest; TC_test_rpc_RpcTest; TC_test_session_manager_SessionManagerTest; TC_SM_IDGEN_001; TC_SM_IDGEN_002,Yes,Yes
REQ_MSG_118_E01,Error - Session ID Zero in Active Session,requirement,,CODE_rpc_client_rpc_142; CODE_rpc_client_rpc_227,TC_test_message_MessageTest; TC_MSG_E09,Yes,Yes
REQ_MSG_119,Session Handling for Events,requirement,feat_req_someip_667,CODE_event_publisher_events_114,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_120,Client ID Configurable Prefix,requirement,feat_req_someip_701,CODE_rpc_client_rpc_142,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_120_E01,Error - Client ID Conflict,requirement,,CODE_rpc_client_rpc_142,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_121A,Event Delivery to All Subscribers,requirement,feat_req_someip_354; feat_req_someip_351; feat_req_someip_352,CODE_event_publisher_events_114,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_121B,Suppress Events to Non-Subscribers,requirement,feat_req_someip_353; feat_req_someip_807,CODE_event_publisher_events_114,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_121C,Event Delivery After Unsubscribe,requirement,feat_req_someip_355; feat_req_someip_356,CODE_event_publisher_events_114,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_121_E01,Error - Event Publish to No Subscribers,requirement,,CODE_event_publisher_events_114,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_121_E02,Error - Event Publish After Shutdown,requirement,,CODE_event_publisher_events_114,TC_test_message_MessageTest; TC_MSG_E10,Yes,Yes
REQ_MSG_122,Selective Event Sending,requirement,feat_req_someip_804; feat_req_someip_806,CODE_event_subscriber_events_78,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_123,Field Getter Support,requirement,feat_req_someip_631; feat_req_someip_633; feat_req_someip_630; feat_req_someip_637,CODE_event_subscriber_events_205,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_123_E01,Error - Field Getter Not Available,requirement,,CODE_event_subscriber_events_205,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_124,Field Setter Support,requirement,feat_req_someip_631; feat_req_someip_634,CODE_event_publisher_events_157,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_124_E01,Error - Field Setter Validation Failure,requirement,,CODE_event_publisher_events_157,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_125,Field Notifier Support,requirement,feat_req_someip_631; feat_req_someip_635,CODE_event_publisher_events_157,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_125_E01,Error - Duplicate Field Notifier Registration,requirement,,CODE_event_publisher_events_157,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_126,No Field Without Accessors,requirement,feat_req_someip_632,CODE_event_publisher_events_157,TC_test_message_MessageTest,Yes,Yes
REQ_MSG_127,No Error for Fire-and-Forget,requirement,feat_req_someip_654,CODE_rpc_server_rpc_118,TC_test_message_MessageTest; TC_test_rpc_RpcTest,Yes,Yes
REQ_MSG_128,No Error for Events,requirement,feat_req_someip_597,CODE_rpc_server_rpc_118,TC_test_message_MessageTest; TC_test_rpc_RpcTest,Yes,Yes
REQ_MSG_129,Error Header Copy,requirement,feat_req_someip_655,CODE_rpc_server_rpc_177,TC_test_message_MessageTest; TC_test_rpc_RpcTest,Yes,Yes
